"job_id","job_title","salary_year_avg","company_name","skills"
552322,"Associate Director- Data Insights","255829.5","AT&T","sql"
552322,"Associate Director- Data Insights","255829.5","AT&T","python"
552322,"Associate Director- Data Insights","255829.5","AT&T","r"
99305,"Data Analyst, Marketing","232423","Pinterest Job Advertisements","sql"
99305,"Data Analyst, Marketing","232423","Pinterest Job Advertisements","python"
99305,"Data Analyst, Marketing","232423","Pinterest Job Advertisements","r"
1021647,"Data Analyst (Hybrid/Remote)","217000","Uclahealthcareers","sql"
1021647,"Data Analyst (Hybrid/Remote)","217000","Uclahealthcareers","crystal"
168310,"Principal Data Analyst (Remote)","205000","SmartAsset","sql"
168310,"Principal Data Analyst (Remote)","205000","SmartAsset","python"
168310,"Principal Data Analyst (Remote)","205000","SmartAsset","go"
731368,"Director, Data Analyst - HYBRID","189309","Inclusively","sql"
731368,"Director, Data Analyst - HYBRID","189309","Inclusively","python"
310660,"Principal Data Analyst, AV Performance Analysis","189000","Motional","sql"
310660,"Principal Data Analyst, AV Performance Analysis","189000","Motional","python"
310660,"Principal Data Analyst, AV Performance Analysis","189000","Motional","r"
1749593,"Principal Data Analyst","186000","SmartAsset","sql"
1749593,"Principal Data Analyst","186000","SmartAsset","python"
1749593,"Principal Data Analyst","186000","SmartAsset","go"
